Name,Feeder,Color Fur,Self-Rating,Reason For Name,Occupation,Source : WikiStreetCats
Mr. Snoob,Happy Canteen,Orange,60th,some people have decided to call a cat Mr. Snoob/Snoobert whenever they have a Goobert-esque back pattern. Mr. Snoob has also been referred to as Snoobert. Mr. Snoob is also known to be the clearer of Mt. Snacks.,"Professional couch surfer, Member of the X-Men",
Asparagus,Lucky 7-Eleven II,Orange,61st,"Asparagus had their name chosen by the community, as it apparently suited them.","Sleeping, warming up hearts, becoming friends with every cat",
Little Fella,Lucky 7-Eleven II,Orange,62nd,"She had been given the name, Little Fella after her remarkably innocent eyes that she constantly keeps up, and utilizes to her advantage when at the feeder, although her behavior seems to suggest she is more like a ravenous gremlin than a cutie pie.",Creature,
Mrs. Pacman,Lucky 7-Eleven II,Calico Tabby,63rd,"a distinctive, Pacman shaped marking.",Ghost Hunter,
Mr. Trumpet,GOODCAT,Orange,64th, Mr. Trumpet was named after his size and color that resemble a trumpet.,Trumpet player in Mr. Jazzy's jazz band.,
Smoll,Strawberry Cat House No. 6,Tortie ,65th,"Mother Larges kitten, smoll little baby.",Being Tiny,
Little Nommer,Mimi-Chan wants to be happy,Calico,66th,the daughter of Big Faced Brother and Small Faced Sister. small and hungry,"Nomming, being the best of BFB´s children, food connoisseur",
Ms. Box,Hakimi Love Cat House,Calico,67th,She is known for her tendency to sit inside of a cardboard box located at the feeder.,Box-sitting,
Mr. Ears,Unknown,Brown Tabby,68th,"He was given this name because of his iconic 4 ears, instead of a pair of two. This is likely because of a genetic mutation.",Hearing falling food from another street,
Mr. Excavator,Eat Without Getting Fat,Brown Tabby,69th,"well known for taking large bites of food at a time, like an excavator, as the name implies.","Construction machine operator, in cartel",
Mr. Fogg,Black Toe Beans Cat House,Black and White,70th,"He was named after the character Phileas Fogg from ""Around The World In Eighty Days"" due to his gentlemanly looks.",Staring into the viewers' soul,
Mr. Grandpa,猫猫饲料厂🐈🐈‍⬛,Orange,71st,named for the distinct mustache-like marking on his muzzle.,Demon hunter (retired) Librarian (seasonal job),
Ms. Mew,咘咘的爱心小窝,Tabby Calico,72nd, She was given her name and honorable title for her actions of guarding the feeder and sounding the alarm for other cats when more kibble dropped.,Guardian of the feeder,
Ms. Sceptic,House of Compassion by the Strait,White w/ Orange Spots,73rd,Her name comes from her moderately suspicious looks at the food or at the feeder cameras on occasion.,Disciple of Mr. Sus,
Ms. Sneak,House of Compassion by the Strait,White,74th," named for her unorthodox way of eating from the feeder, as if she doesn't want to be fully seen.",Protege of Sam Fisher,
Mr. Sleep,Cat House of Compassion in HeQing Town,White w/ Black Spots,75th," tendency to fall asleep in the food bowl, often to the detriment of other hungry cats. ",Sleeping in the food bowl,
Mr. Swag,Them-ChaiChai's Hut,Orange and White Long,76th,He is named after the unbothered expression he had when looking at the camera. Mr. Swag is likely to have eyesight problems which causes him to look funny.,Being Swag,
Mr. Tubby,糖果猫府,Grey,77th,"He is named after Tubby, a cat that a wiki user had as a child, and for also being quite tubby. ",Fancy Moncher of chicken kibble,
Ms. Vanish,Big Faced Brother's Feeder,Calico,78th,"Ms. Vanish got her name from a camera glitch with the feeder that caused a buffer while she was drinking from the fountain behind her. When the camera stopped buffering, Ms. Vanish was no longer in the feeder, it made it look as if she simply vanished.",Vanishing,
Mr. Yoda,Leaf and Their Kitties' Little Nest,Brown Tabby,79th,"He was named after his face shape and prominent ears, in reference to the character of the same name",Wise Mentor,
Nugglet,大橘为重重重,Orange,80th,"Little baby dropped off in a box, died defending his sister Eeplet.",Protector of Eeplet,
Pichu,停车场自助餐厅🚗,Calico,81st," She is named as such, as there is a Pikachu plush located at the feeder.She is a big fan of the Pikachu plush at the feeder.",Long Jump World Champion,
Ferret,Angela's Dream Castle,White,82nd, She was given her name due to her resemblance of a ferret.,Ferret Impersonator,
